hip_number,ra_deg,dec_deg,light_year,vmag
2081,6.57028075,-42.30512197,77.36117703,2.4
58001,178.4572554,53.69473296,83.61118235,2.41
84012,257.5944266,-15.72514757,84.08563322,2.43
113881,345.9430558,28.08245462,199.144777,2.44
105199,319.6440898,62.58545529,48.77318971,2.45
35904,111.023771,-29.30311979,3196.078431,2.45
45941,140.5284551,-55.01069531,538.8429752,2.47
102488,311.5518009,33.96945334,72.02828104,2.48
113963,346.1900702,15.20536786,139.5547945,2.49
81377,249.2897085,-10.5671518,457.8651685,2.54
14135,45.56991279,4.08992539,219.9730094,2.54
68002,208.8851454,-47.28826634,384.4339623,2.55
54872,168.5267171,20.52403384,57.67869781,2.56
78820,241.3593121,-19.80539286,530.0813008,2.56
59196,182.0897651,-50.72240999,395.1515152,2.58
25985,83.18255798,-17.82229227,1283.464567,2.58
59803,183.9519494,-17.5419837,164.8129424,2.58
93506,285.6530143,-29.88011429,89.04670855,2.6
74785,229.2519659,-9.38286694,159.9607458,2.61
77070,236.0666491,6.42551971,73.19263583,2.63
8903,28.65978771,20.80829949,59.55425649,2.64
26634,84.91224975,-34.07404941,268.0921053,2.65
28380,89.93015897,37.21276409,173.1279873,2.65
61359,188.5968086,-23.39662306,139.6743787,2.65
6686,21.45251267,60.23540347,99.35995123,2.66
67927,208.6713175,18.39858742,36.97402745,2.68
73273,224.6331419,-43.13386699,523.2744783,2.68
61585,189.2961821,-69.13553358,305.529522,2.69
52727,161.6921754,-49.42012517,115.6848829,2.69
23015,74.24840098,33.16613537,511.7739403,2.69
85696,262.690995,-37.29574016,518.2829889,2.7
35264,109.285684,-37.09748689,1093.959732,2.71
97278,296.5648757,10.61326869,460.4519774,2.72
89931,275.2484234,-29.82803914,305.529522,2.72
80331,245.9979452,61.51407536,87.68154922,2.73
79593,243.586526,-3.69397562,170.1461378,2.73
61941,190.4166756,-1.44952231,38.56618952,2.74
52419,160.739278,-64.39447937,438.7617766,2.74
26241,83.85825475,-5.90989984,1325.203252,2.75
65109,200.1502732,-36.71208109,58.59094177,2.75
72622,222.7199054,-16.04161047,77.15976331,2.75
86742,265.8682371,4.56691684,81.95072901,2.76
84345,258.6619269,14.39025314,382.1805393,2.78
23875,76.96264146,-5.08626282,88.80414056,2.78
80816,247.555257,21.4896485,147.711826,2.78
85670,262.6082371,52.30135901,361.4190687,2.79
59747,183.7864873,-58.74890179,363.8392857,2.79
76297,233.7852516,-41.16669497,566.9565217,2.8
81693,250.3228213,31.60188695,35.19378171,2.81
25606,82.06135971,-20.75923214,159.102001,2.81
2021,6.41334183,-77.25503511,24.36836597,2.82
81266,248.9706642,-28.21596156,429.5125165,2.82
90496,276.9927896,-25.42124732,77.25118483,2.82
1067,3.30895828,15.18361593,332.9928498,2.83
77952,238.7867001,-63.42974973,40.12801576,2.83
39757,121.886259,-24.30443677,62.70436622,2.83
85258,261.3249883,-55.52982397,602.5878004,2.84
85792,262.9605066,-49.87598159,242.1991085,2.84
18246,58.53299363,31.88365776,981.9277108,2.84
63608,195.5448356,10.95910186,102.1943574,2.85
107556,326.759522,-16.12656595,38.54339087,2.85
17702,56.87110065,24.10524193,367.5310034,2.85
9236,29.69113269,-61.56992444,71.27240927,2.86
97165,296.2435088,45.13069195,170.9491348,2.86
110130,334.6257426,-60.25949486,198.5383678,2.87
30343,95.73996302,22.51385027,231.6986496,2.87
74946,229.7278701,-68.67946723,182.6330532,2.87
94141,287.440974,-21.02352534,439.9460189,2.88
13847,44.5654818,-40.30473491,161.2265084,2.88
36188,111.7878012,8.28940893,170.1461378,2.89
63125,194.0076705,38.31824617,110.1351351,2.89
78265,239.7130028,-26.1140428,459.1549296,2.89
106278,322.8896695,-5.57115593,611.6322702,2.9
80112,245.2971772,-25.59275259,734.2342342,2.9
18532,59.46342138,40.01027315,537.9537954,2.9
14328,46.19912598,53.50645031,256.2893082,2.91
48002,146.7755734,-65.07201888,1621.890547,2.92
112158,340.7505357,30.22130866,214.7562582,2.93
60965,187.4665965,-16.51509397,87.84694153,2.94
32768,102.4839035,-50.61439973,182.6330532,2.94
109074,331.4459387,-0.31982656,758.1395349,2.95
18543,59.50720862,-13.50824471,221.0169492,2.97
47908,146.4629267,23.77427792,250.5764796,2.97
26451,84.41118447,21.14259299,416.8797954,2.97
88635,271.4521859,-30.42365007,96.05185622,2.98
93747,286.3525518,13.86370983,83.2057172,2.99
87073,266.8961714,-40.12698197,1791.208791,2.99
64962,199.7302224,-23.17141246,132.037262,2.99
82514,252.967662,-38.04732717,821.1586902,3
108085,328.481892,-37.3648229,202.8624767,3
10064,32.38550383,34.98739204,124.2378049,3
75097,230.1822884,71.83397308,480.1178203,3
54539,167.4160809,44.49855337,146.7807294,3
17358,55.7311754,47.7876533,527.5080906,3.01
30122,95.07827982,-30.06337656,336.0824742,3.02
33977,105.7561399,-23.83330131,2566.929134,3.02
59316,182.5313577,-22.61979211,303.255814,3.02
23416,75.49222507,43.82331397,2037.5,3.03
62322,191.5702901,-68.10809405,311.0687023,3.04
71075,218.0198242,38.30788348,85.13972317,3.04
95947,292.6803553,27.9596948,385.3427896,3.05
100345,305.2526935,-14.78140119,343.8818565,3.05
32246,100.9830409,25.13115531,903.0470914,3.06
50801,155.5825136,41.4994335,248.6651411,3.06
94376,288.1381458,67.66131695,100.1843884,3.07
89642,274.4072049,-36.76128103,149.0626429,3.1
52943,162.405967,-16.19413208,138.4876805,3.11
43813,133.8486869,5.9455277,150.6469501,3.11
56561,173.9455345,-63.01982488,409.5477387,3.11
101772,309.3916237,-47.29166239,101.2108041,3.11
83081,254.6551282,-55.99005508,573.943662,3.12
84379,258.7580174,24.83958739,78.45968712,3.12
27628,87.7398034,-35.76929225,85.92514497,3.12
44127,134.8034948,48.04234956,47.71662763,3.12
73334,224.7904125,-42.10414199,538.8429752,3.13
45860,140.2644117,34.39252592,221.9196732,3.14
46701,142.8056407,-57.0343916,237.6093294,3.16
84380,258.7618928,36.80915527,366.704162,3.16
46853,143.2180219,51.67860208,43.96493594,3.17
83895,257.1967711,65.71463676,339.5833333,3.17
31685,99.44029869,-43.19592394,422.8274968,3.17
92041,281.4139708,-26.9907794,230.5516266,3.17
23767,76.62862102,41.23464074,219.2333557,3.18
71908,220.6278543,-64.97456957,53.46891914,3.18
83000,254.4177942,9.37505626,85.8120558,3.19
22449,72.45890935,6.96124744,26.16372392,3.19
87261,267.4643802,-37.04337105,126.7989109,3.19
23685,76.36521705,-22.37085673,226.5462126,3.19
104732,318.2340898,30.22708128,150.786309,3.21
116727,354.8374252,77.63196681,44.96551724,3.21
75141,230.3430683,-40.64745946,510.172144,3.22
79882,244.5801699,-4.69260809,107.4489123,3.23
89962,275.3288358,-2.897122,61.73073282,3.23
106032,322.164896,70.56069481,594.8905109,3.23
99473,302.8261033,-0.82147569,286.971831,3.24
32607,102.0480713,-61.94197988,98.90776699,3.24
73714,226.0177579,-25.28185602,291.8531782,3.25
36377,112.3078263,-43.30189129,183.7655017,3.25
93194,284.7359357,32.68955312,634.2412451,3.25
68895,211.5927873,-26.68201883,101.3366491,3.25
17678,56.80929799,-74.23924251,214.0512147,3.26
3092,9.83165567,30.86122579,101.2736875,3.27
84970,260.5024337,-24.99948797,563.0397237,3.27
113136,343.6626635,-15.82075994,159.4911937,3.27
24305,78.2328046,-16.20542901,184.2849067,3.29
75458,231.2324337,58.96602354,102.1303258,3.29
50099,153.4344955,-70.03792169,370.0340522,3.29
51576,158.0061825,-61.68536031,496.9512195,3.3
21281,68.49882684,-55.04500559,175.6465517,3.3
29655,93.71956952,22.50682376,349.0364026,3.31
85267,261.3485827,-56.37768824,1135.888502,3.31
88048,269.7566566,-9.77334973,152.6932084,3.32
59774,183.856038,57.03259792,81.39825218,3.32
93864,286.7351763,-27.66981416,120.3396087,3.32
14354,46.29373754,38.84053298,325.0249252,3.32
84143,258.038233,-43.23849039,71.55399473,3.32
5165,16.52127713,-46.71849042,198.0558931,3.32
54879,168.5601704,15.4297631,177.5599129,3.33
19780,63.60596306,-62.47397888,163.1631632,3.33
38170,117.3235781,-24.85978401,1347.107438,3.34
41704,127.5667923,60.7184311,183.5585586,3.35
32362,101.3226398,12.89605513,57.17292178,3.35
25281,81.11923774,-2.39713844,900.5524862,3.35
8886,28.59868107,63.67014686,441.7344173,3.35
95501,291.3739694,3.11457923,50.11529593,3.36
75264,230.6703647,-44.68957314,503.8639876,3.37
43109,131.6943593,6.41890691,135.1015334,3.38
66249,203.673978,-0.59593821,73.17620651,3.38
109492,332.7135913,58.20124992,726.0579065,3.39
